#Top: Test_wrapper   Floorplan: impl_1   Part: xc7z030ffg676-2;;;;;;;;;;;;;;;;;;;;;;;;;;
#Generated by: Muhammed   on: Fri Jul 19 09:32:35 2024;;;;;;;;;;;;;;;;;;;;;;;;;;
#Build: Vivado v2022.2   by: xbuild   on: Fri Oct 14 05:00:03 MDT 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
#Package Version: FINAL 2013-01-16;;;;;;;;;;;;;;;;;;;;;;;;;;
#Package Pin Delay Version: VERS. 2.0 2013-01-16;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
IO Bank;Pin Number;Site;Site Type;Min Trace Delay (ps);Max Trace Delay (ps);Avrg Trace Delay (ps);Prohibit;Interface;Signal Name;Direction;DiffPair Type;DiffPair Signal;IO Standard;Drive (mA);Slew Rate;OUTPUT_IMPEDANCE;PRE_EMPHASIS;LVDS_PRE_EMPHASIS;EQUALIZATION;Pull Type;DQS_BIAS;IN_TERM;DIFF_TERM;OFFCHIP_TERM;Board Signal;Board Voltage
501;B19;IOPAD_X1Y124;PS_MIO47_501;100.726;101.739;101.233;;FIXED_IO_40162;FIXED_IO_mio[47];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;E17;IOPAD_X1Y123;PS_MIO46_501;83.432;84.271;83.852;;FIXED_IO_40162;FIXED_IO_mio[46];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;C18;IOPAD_X1Y122;PS_MIO45_501;92.027;92.952;92.490;;FIXED_IO_40162;FIXED_IO_mio[45];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;E18;IOPAD_X1Y121;PS_MIO44_501;72.540;73.269;72.905;;FIXED_IO_40162;FIXED_IO_mio[44];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;D18;IOPAD_X1Y120;PS_MIO43_501;83.994;84.838;84.416;;FIXED_IO_40162;FIXED_IO_mio[43];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;F17;IOPAD_X1Y119;PS_MIO42_501;75.197;75.952;75.575;;FIXED_IO_40162;FIXED_IO_mio[42];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;C19;IOPAD_X1Y118;PS_MIO41_501;96.576;97.547;97.062;;FIXED_IO_40162;FIXED_IO_mio[41];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;C22;IOPAD_X1Y117;PS_MIO40_501;111.379;112.498;111.939;;FIXED_IO_40162;FIXED_IO_mio[40];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;C21;IOPAD_X1Y116;PS_MIO39_501;113.164;114.302;113.733;;FIXED_IO_40162;FIXED_IO_mio[39];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;D21;IOPAD_X1Y115;PS_MIO38_501;95.615;96.576;96.096;;FIXED_IO_40162;FIXED_IO_mio[38];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;D20;IOPAD_X1Y114;PS_MIO37_501;98.006;98.991;98.499;;FIXED_IO_40162;FIXED_IO_mio[37];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;K16;IOPAD_X1Y113;PS_MIO36_501;43.475;43.912;43.694;;FIXED_IO_40162;FIXED_IO_mio[36];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;D19;IOPAD_X1Y112;PS_MIO35_501;90.891;91.804;91.348;;FIXED_IO_40162;FIXED_IO_mio[35];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;J16;IOPAD_X1Y111;PS_MIO34_501;46.071;46.534;46.303;;FIXED_IO_40162;FIXED_IO_mio[34];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;E22;IOPAD_X1Y110;PS_MIO33_501;101.241;102.259;101.750;;FIXED_IO_40162;FIXED_IO_mio[33];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;K17;IOPAD_X1Y109;PS_MIO32_501;48.156;48.640;48.398;;FIXED_IO_40162;FIXED_IO_mio[32];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;E21;IOPAD_X1Y108;PS_MIO31_501;110.914;112.029;111.472;;FIXED_IO_40162;FIXED_IO_mio[31];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;K19;IOPAD_X1Y107;PS_MIO30_501;77.346;78.124;77.735;;FIXED_IO_40162;FIXED_IO_mio[30];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;E20;IOPAD_X1Y106;PS_MIO29_501;89.573;90.473;90.023;;FIXED_IO_40162;FIXED_IO_mio[29];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;J18;IOPAD_X1Y105;PS_MIO28_501;71.372;72.089;71.731;;FIXED_IO_40162;FIXED_IO_mio[28];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;F18;IOPAD_X1Y104;PS_MIO27_501;78.315;79.103;78.709;;FIXED_IO_40162;FIXED_IO_mio[27];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;H17;IOPAD_X1Y103;PS_MIO26_501;77.916;78.699;78.308;;FIXED_IO_40162;FIXED_IO_mio[26];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;F19;IOPAD_X1Y102;PS_MIO25_501;77.503;78.282;77.893;;FIXED_IO_40162;FIXED_IO_mio[25];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;J19;IOPAD_X1Y101;PS_MIO24_501;95.795;96.758;96.277;;FIXED_IO_40162;FIXED_IO_mio[24];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;F20;IOPAD_X1Y100;PS_MIO23_501;87.324;88.202;87.763;;FIXED_IO_40162;FIXED_IO_mio[23];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;G22;IOPAD_X1Y99;PS_MIO22_501;167.332;169.013;168.173;;FIXED_IO_40162;FIXED_IO_mio[22];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
501;F22;IOPAD_X1Y98;PS_MIO21_501;102.013;103.039;102.526;;FIXED_IO_40162;FIXED_IO_mio[21];INOUT;;;LVCMOS18;12;SLOW;;;;;;;;;FP_VTT_50;;
